sw,sg,sw_inj,sg_inj,oil_bank
0.08,0.0,0.0,1.0,False
0.08,0.0,0.1,0.9,False
0.08,0.0,0.2,0.8,False
0.08,0.0,0.3,0.7,False
0.08,0.0,0.4,0.6,False
0.08,0.0,0.5,0.5,False
0.08,0.0,0.6,0.4,False
0.08,0.0,0.7,0.3,False
0.12,0.84,0.0,1.0,False
0.12,0.84,0.1,0.9,False
0.12,0.84,0.2,0.8,False
0.12,0.84,0.3,0.7,False
0.12,0.84,0.4,0.6,False
0.12,0.84,0.5,0.5,False
0.12,0.84,0.6,0.4,False
0.12,0.84,0.7,0.3,False
0.12,0.8,0.0,1.0,False
0.12,0.8,0.1,0.9,False
0.12,0.8,0.2,0.8,False
0.12,0.8,0.3,0.7,False
0.12,0.8,0.4,0.6,False
0.12,0.8,0.5,0.5,False
0.12,0.8,0.6,0.4,False
0.12,0.8,0.7,0.3,False
0.12,0.76,0.0,1.0,False
0.12,0.76,0.1,0.9,False
0.12,0.76,0.2,0.8,False
0.12,0.76,0.3,0.7,False
0.12,0.76,0.4,0.6,False
0.12,0.76,0.5,0.5,False
0.12,0.76,0.6,0.4,False
0.12,0.76,0.7,0.3,False
0.12,0.72,0.0,1.0,False
0.12,0.72,0.1,0.9,False
0.12,0.72,0.2,0.8,False
0.12,0.72,0.3,0.7,False
0.12,0.72,0.4,0.6,False
0.12,0.72,0.5,0.5,False
0.12,0.72,0.6,0.4,False
0.12,0.72,0.7,0.3,False
0.12,0.68,0.0,1.0,False
0.12,0.68,0.1,0.9,False
0.12,0.68,0.2,0.8,False
0.12,0.68,0.3,0.7,False
0.12,0.68,0.4,0.6,False
0.12,0.68,0.5,0.5,False
0.12,0.68,0.6,0.4,False
0.12,0.68,0.7,0.3,False
0.12,0.64,0.0,1.0,False
0.12,0.64,0.1,0.9,False
0.12,0.64,0.2,0.8,False
0.12,0.64,0.3,0.7,False
0.12,0.64,0.4,0.6,False
0.12,0.64,0.5,0.5,False
0.12,0.64,0.6,0.4,False
0.12,0.64,0.7,0.3,False
0.12,0.6,0.0,1.0,False
0.12,0.6,0.1,0.9,False
0.12,0.6,0.2,0.8,False
0.12,0.6,0.3,0.7,False
0.12,0.6,0.4,0.6,False
0.12,0.6,0.5,0.5,False
0.12,0.6,0.6,0.4,False
0.12,0.6,0.7,0.3,False
0.12,0.56,0.0,1.0,False
0.12,0.56,0.1,0.9,False
0.12,0.56,0.2,0.8,False
0.12,0.56,0.3,0.7,False
0.12,0.56,0.4,0.6,False
0.12,0.56,0.5,0.5,False
0.12,0.56,0.6,0.4,False
0.12,0.56,0.7,0.3,False
0.12,0.52,0.0,1.0,False
0.12,0.52,0.1,0.9,False
0.12,0.52,0.2,0.8,False
0.12,0.52,0.3,0.7,False
0.12,0.52,0.4,0.6,False
0.12,0.52,0.5,0.5,False
0.12,0.52,0.6,0.4,False
0.12,0.52,0.7,0.3,False
0.12,0.48,0.0,1.0,False
0.12,0.48,0.1,0.9,False
0.12,0.48,0.2,0.8,False
0.12,0.48,0.3,0.7,False
0.12,0.48,0.4,0.6,False
0.12,0.48,0.5,0.5,False
0.12,0.48,0.6,0.4,False
0.12,0.48,0.7,0.3,False
0.12,0.44,0.0,1.0,False
0.12,0.44,0.1,0.9,False
0.12,0.44,0.2,0.8,False
0.12,0.44,0.3,0.7,False
0.12,0.44,0.4,0.6,False
0.12,0.44,0.5,0.5,False
0.12,0.44,0.6,0.4,False
0.12,0.44,0.7,0.3,False
0.12,0.4,0.0,1.0,False
0.12,0.4,0.1,0.9,False
0.12,0.4,0.2,0.8,False
0.12,0.4,0.3,0.7,False
0.12,0.4,0.4,0.6,False
0.12,0.4,0.5,0.5,False
0.12,0.4,0.6,0.4,False
0.12,0.4,0.7,0.3,False
0.12,0.36,0.0,1.0,False
0.12,0.36,0.1,0.9,False
0.12,0.36,0.2,0.8,False
0.12,0.36,0.3,0.7,False
0.12,0.36,0.4,0.6,False
0.12,0.36,0.5,0.5,False
0.12,0.36,0.6,0.4,False
0.12,0.36,0.7,0.3,False
0.12,0.32,0.0,1.0,False
0.12,0.32,0.1,0.9,False
0.12,0.32,0.2,0.8,False
0.12,0.32,0.3,0.7,False
0.12,0.32,0.4,0.6,False
0.12,0.32,0.5,0.5,False
0.12,0.32,0.6,0.4,False
0.12,0.32,0.7,0.3,False
0.12,0.28,0.0,1.0,False
0.12,0.28,0.1,0.9,False
0.12,0.28,0.2,0.8,False
0.12,0.28,0.3,0.7,False
0.12,0.28,0.4,0.6,False
0.12,0.28,0.5,0.5,False
0.12,0.28,0.6,0.4,False
0.12,0.28,0.7,0.3,False
0.12,0.24,0.0,1.0,False
0.12,0.24,0.1,0.9,False
0.12,0.24,0.2,0.8,False
0.12,0.24,0.3,0.7,False
0.12,0.24,0.4,0.6,False
0.12,0.24,0.5,0.5,False
0.12,0.24,0.6,0.4,False
0.12,0.24,0.7,0.3,False
0.12,0.2,0.0,1.0,False
0.12,0.2,0.1,0.9,False
0.12,0.2,0.2,0.8,False
0.12,0.2,0.3,0.7,False
0.12,0.2,0.4,0.6,False
0.12,0.2,0.5,0.5,False
0.12,0.2,0.6,0.4,False
0.12,0.2,0.7,0.3,False
0.12,0.16,0.0,1.0,False
0.12,0.16,0.1,0.9,False
0.12,0.16,0.2,0.8,False
0.12,0.16,0.3,0.7,False
0.12,0.16,0.4,0.6,False
0.12,0.16,0.5,0.5,False
0.12,0.16,0.6,0.4,False
0.12,0.16,0.7,0.3,False
0.12,0.12,0.0,1.0,False
0.12,0.12,0.1,0.9,False
0.12,0.12,0.2,0.8,False
0.12,0.12,0.3,0.7,False
0.12,0.12,0.4,0.6,False
0.12,0.12,0.5,0.5,False
0.12,0.12,0.6,0.4,False
0.12,0.12,0.7,0.3,False
0.12,0.08,0.0,1.0,False
0.12,0.08,0.1,0.9,False
0.12,0.08,0.2,0.8,False
0.12,0.08,0.3,0.7,False
0.12,0.08,0.4,0.6,False
0.12,0.08,0.5,0.5,False
0.12,0.08,0.6,0.4,False
0.12,0.08,0.7,0.3,False
0.12,0.04,0.0,1.0,False
0.12,0.04,0.1,0.9,False
0.12,0.04,0.2,0.8,False
0.12,0.04,0.3,0.7,False
0.12,0.04,0.4,0.6,False
0.12,0.04,0.5,0.5,False
0.12,0.04,0.6,0.4,False
0.12,0.04,0.7,0.3,False
0.12,0.0,0.0,1.0,False
0.12,0.0,0.1,0.9,False
0.12,0.0,0.2,0.8,False
0.12,0.0,0.3,0.7,False
0.12,0.0,0.4,0.6,False
0.12,0.0,0.5,0.5,False
0.12,0.0,0.6,0.4,False
0.12,0.0,0.7,0.3,False
0.16,0.8,0.0,1.0,False
0.16,0.8,0.1,0.9,False
0.16,0.8,0.2,0.8,False
0.16,0.8,0.3,0.7,False
0.16,0.8,0.4,0.6,False
0.16,0.8,0.5,0.5,False
0.16,0.8,0.6,0.4,False
0.16,0.8,0.7,0.3,False
0.16,0.76,0.0,1.0,False
0.16,0.76,0.1,0.9,False
0.16,0.76,0.2,0.8,False
0.16,0.76,0.3,0.7,False
0.16,0.76,0.4,0.6,False
0.16,0.76,0.5,0.5,False
0.16,0.76,0.6,0.4,False
0.16,0.76,0.7,0.3,False
0.16,0.72,0.0,1.0,True
0.16,0.72,0.1,0.9,False
0.16,0.72,0.2,0.8,False
0.16,0.72,0.3,0.7,False
0.16,0.72,0.4,0.6,False
0.16,0.72,0.5,0.5,False
0.16,0.72,0.6,0.4,False
0.16,0.72,0.7,0.3,False
0.16,0.68,0.0,1.0,True
0.16,0.68,0.1,0.9,False
0.16,0.68,0.2,0.8,False
0.16,0.68,0.3,0.7,False
0.16,0.68,0.4,0.6,False
0.16,0.68,0.5,0.5,False
0.16,0.68,0.6,0.4,False
0.16,0.68,0.7,0.3,False
0.16,0.64,0.0,1.0,True
0.16,0.64,0.1,0.9,False
0.16,0.64,0.2,0.8,False
0.16,0.64,0.3,0.7,False
0.16,0.64,0.4,0.6,False
0.16,0.64,0.5,0.5,False
0.16,0.64,0.6,0.4,False
0.16,0.64,0.7,0.3,False
0.16,0.6,0.0,1.0,True
0.16,0.6,0.1,0.9,False
0.16,0.6,0.2,0.8,False
0.16,0.6,0.3,0.7,False
0.16,0.6,0.4,0.6,False
0.16,0.6,0.5,0.5,False
0.16,0.6,0.6,0.4,False
0.16,0.6,0.7,0.3,False
0.16,0.56,0.0,1.0,False
0.16,0.56,0.1,0.9,False
0.16,0.56,0.2,0.8,False
0.16,0.56,0.3,0.7,False
0.16,0.56,0.4,0.6,False
0.16,0.56,0.5,0.5,False
0.16,0.56,0.6,0.4,False
0.16,0.56,0.7,0.3,False
0.16,0.52,0.0,1.0,False
0.16,0.52,0.1,0.9,False
0.16,0.52,0.2,0.8,False
0.16,0.52,0.3,0.7,False
0.16,0.52,0.4,0.6,False
0.16,0.52,0.5,0.5,False
0.16,0.52,0.6,0.4,False
0.16,0.52,0.7,0.3,False
0.16,0.48,0.0,1.0,False
0.16,0.48,0.1,0.9,False
0.16,0.48,0.2,0.8,False
0.16,0.48,0.3,0.7,False
0.16,0.48,0.4,0.6,False
0.16,0.48,0.5,0.5,False
0.16,0.48,0.6,0.4,False
0.16,0.48,0.7,0.3,False
0.16,0.44,0.0,1.0,False
0.16,0.44,0.1,0.9,False
0.16,0.44,0.2,0.8,False
0.16,0.44,0.3,0.7,False
0.16,0.44,0.4,0.6,False
0.16,0.44,0.5,0.5,False
0.16,0.44,0.6,0.4,False
0.16,0.44,0.7,0.3,False
0.16,0.4,0.0,1.0,False
0.16,0.4,0.1,0.9,False
0.16,0.4,0.2,0.8,False
0.16,0.4,0.3,0.7,False
0.16,0.4,0.4,0.6,False
0.16,0.4,0.5,0.5,False
0.16,0.4,0.6,0.4,False
0.16,0.4,0.7,0.3,False
0.16,0.36,0.0,1.0,False
0.16,0.36,0.1,0.9,False
0.16,0.36,0.2,0.8,False
0.16,0.36,0.3,0.7,False
0.16,0.36,0.4,0.6,False
0.16,0.36,0.5,0.5,False
0.16,0.36,0.6,0.4,False
0.16,0.36,0.7,0.3,False
0.16,0.32,0.0,1.0,False
0.16,0.32,0.1,0.9,False
0.16,0.32,0.2,0.8,False
0.16,0.32,0.3,0.7,False
0.16,0.32,0.4,0.6,False
0.16,0.32,0.5,0.5,False
0.16,0.32,0.6,0.4,False
0.16,0.32,0.7,0.3,False
0.16,0.28,0.0,1.0,False
0.16,0.28,0.1,0.9,False
0.16,0.28,0.2,0.8,False
0.16,0.28,0.3,0.7,False
0.16,0.28,0.4,0.6,False
0.16,0.28,0.5,0.5,False
0.16,0.28,0.6,0.4,False
0.16,0.28,0.7,0.3,False
0.16,0.24,0.0,1.0,False
0.16,0.24,0.1,0.9,False
0.16,0.24,0.2,0.8,False
0.16,0.24,0.3,0.7,False
0.16,0.24,0.4,0.6,False
0.16,0.24,0.5,0.5,False
0.16,0.24,0.6,0.4,False
0.16,0.24,0.7,0.3,False
0.16,0.2,0.0,1.0,False
0.16,0.2,0.1,0.9,False
0.16,0.2,0.2,0.8,False
0.16,0.2,0.3,0.7,False
0.16,0.2,0.4,0.6,False
0.16,0.2,0.5,0.5,False
0.16,0.2,0.6,0.4,False
0.16,0.2,0.7,0.3,False
0.16,0.16,0.0,1.0,False
0.16,0.16,0.1,0.9,False
0.16,0.16,0.2,0.8,False
0.16,0.16,0.3,0.7,False
0.16,0.16,0.4,0.6,False
0.16,0.16,0.5,0.5,False
0.16,0.16,0.6,0.4,False
0.16,0.16,0.7,0.3,False
0.16,0.12,0.0,1.0,False
0.16,0.12,0.1,0.9,False
0.16,0.12,0.2,0.8,False
0.16,0.12,0.3,0.7,False
0.16,0.12,0.4,0.6,False
0.16,0.12,0.5,0.5,False
0.16,0.12,0.6,0.4,False
0.16,0.12,0.7,0.3,False
0.16,0.08,0.0,1.0,False
0.16,0.08,0.1,0.9,False
0.16,0.08,0.2,0.8,False
0.16,0.08,0.3,0.7,False
0.16,0.08,0.4,0.6,False
0.16,0.08,0.5,0.5,False
0.16,0.08,0.6,0.4,False
0.16,0.08,0.7,0.3,False
0.16,0.04,0.0,1.0,False
0.16,0.04,0.1,0.9,False
0.16,0.04,0.2,0.8,False
0.16,0.04,0.3,0.7,False
0.16,0.04,0.4,0.6,False
0.16,0.04,0.5,0.5,False
0.16,0.04,0.6,0.4,False
0.16,0.04,0.7,0.3,False
0.16,0.0,0.0,1.0,False
0.16,0.0,0.1,0.9,False
0.16,0.0,0.2,0.8,False
0.16,0.0,0.3,0.7,False
0.16,0.0,0.4,0.6,False
0.16,0.0,0.5,0.5,False
0.16,0.0,0.6,0.4,False
0.16,0.0,0.7,0.3,False
0.2,0.76,0.0,1.0,False
0.2,0.76,0.1,0.9,False
0.2,0.76,0.2,0.8,False
0.2,0.76,0.3,0.7,False
0.2,0.76,0.4,0.6,False
0.2,0.76,0.5,0.5,False
0.2,0.76,0.6,0.4,False
0.2,0.76,0.7,0.3,False
0.2,0.72,0.0,1.0,False
0.2,0.72,0.1,0.9,False
0.2,0.72,0.2,0.8,False
0.2,0.72,0.3,0.7,False
0.2,0.72,0.4,0.6,False
0.2,0.72,0.5,0.5,False
0.2,0.72,0.6,0.4,False
0.2,0.72,0.7,0.3,False
0.2,0.68,0.0,1.0,True
0.2,0.68,0.1,0.9,True
0.2,0.68,0.2,0.8,False
0.2,0.68,0.3,0.7,False
0.2,0.68,0.4,0.6,False
0.2,0.68,0.5,0.5,False
0.2,0.68,0.6,0.4,False
0.2,0.68,0.7,0.3,False
0.2,0.64,0.0,1.0,True
0.2,0.64,0.1,0.9,True
0.2,0.64,0.2,0.8,False
0.2,0.64,0.3,0.7,False
0.2,0.64,0.4,0.6,False
0.2,0.64,0.5,0.5,False
0.2,0.64,0.6,0.4,False
0.2,0.64,0.7,0.3,False
0.2,0.6,0.0,1.0,True
0.2,0.6,0.1,0.9,False
0.2,0.6,0.2,0.8,False
0.2,0.6,0.3,0.7,False
0.2,0.6,0.4,0.6,False
0.2,0.6,0.5,0.5,False
0.2,0.6,0.6,0.4,False
0.2,0.6,0.7,0.3,False
0.2,0.56,0.0,1.0,True
0.2,0.56,0.1,0.9,False
0.2,0.56,0.2,0.8,False
0.2,0.56,0.3,0.7,False
0.2,0.56,0.4,0.6,False
0.2,0.56,0.5,0.5,False
0.2,0.56,0.6,0.4,False
0.2,0.56,0.7,0.3,False
0.2,0.52,0.0,1.0,True
0.2,0.52,0.1,0.9,False
0.2,0.52,0.2,0.8,False
0.2,0.52,0.3,0.7,False
0.2,0.52,0.4,0.6,False
0.2,0.52,0.5,0.5,False
0.2,0.52,0.6,0.4,False
0.2,0.52,0.7,0.3,False
0.2,0.48,0.0,1.0,True
0.2,0.48,0.1,0.9,False
0.2,0.48,0.2,0.8,False
0.2,0.48,0.3,0.7,False
0.2,0.48,0.4,0.6,False
0.2,0.48,0.5,0.5,False
0.2,0.48,0.6,0.4,False
0.2,0.48,0.7,0.3,False
0.2,0.44,0.0,1.0,False
0.2,0.44,0.1,0.9,False
0.2,0.44,0.2,0.8,False
0.2,0.44,0.3,0.7,False
0.2,0.44,0.4,0.6,False
0.2,0.44,0.5,0.5,False
0.2,0.44,0.6,0.4,False
0.2,0.44,0.7,0.3,False
0.2,0.4,0.0,1.0,False
0.2,0.4,0.1,0.9,False
0.2,0.4,0.2,0.8,False
0.2,0.4,0.3,0.7,False
0.2,0.4,0.4,0.6,False
0.2,0.4,0.5,0.5,False
0.2,0.4,0.6,0.4,False
0.2,0.4,0.7,0.3,False
0.2,0.36,0.0,1.0,False
0.2,0.36,0.1,0.9,False
0.2,0.36,0.2,0.8,False
0.2,0.36,0.3,0.7,False
0.2,0.36,0.4,0.6,False
0.2,0.36,0.5,0.5,False
0.2,0.36,0.6,0.4,False
0.2,0.36,0.7,0.3,False
0.2,0.32,0.0,1.0,False
0.2,0.32,0.1,0.9,False
0.2,0.32,0.2,0.8,False
0.2,0.32,0.3,0.7,False
0.2,0.32,0.4,0.6,False
0.2,0.32,0.5,0.5,False
0.2,0.32,0.6,0.4,False
0.2,0.32,0.7,0.3,False
0.2,0.28,0.0,1.0,False
0.2,0.28,0.1,0.9,False
0.2,0.28,0.2,0.8,False
0.2,0.28,0.3,0.7,False
0.2,0.28,0.4,0.6,False
0.2,0.28,0.5,0.5,False
0.2,0.28,0.6,0.4,False
0.2,0.28,0.7,0.3,False
0.2,0.24,0.0,1.0,False
0.2,0.24,0.1,0.9,False
0.2,0.24,0.2,0.8,False
0.2,0.24,0.3,0.7,False
0.2,0.24,0.4,0.6,False
0.2,0.24,0.5,0.5,False
0.2,0.24,0.6,0.4,False
0.2,0.24,0.7,0.3,False
0.2,0.2,0.0,1.0,False
0.2,0.2,0.1,0.9,False
0.2,0.2,0.2,0.8,False
0.2,0.2,0.3,0.7,False
0.2,0.2,0.4,0.6,False
0.2,0.2,0.5,0.5,False
0.2,0.2,0.6,0.4,False
0.2,0.2,0.7,0.3,False
0.2,0.16,0.0,1.0,False
0.2,0.16,0.1,0.9,False
0.2,0.16,0.2,0.8,False
0.2,0.16,0.3,0.7,False
0.2,0.16,0.4,0.6,False
0.2,0.16,0.5,0.5,False
0.2,0.16,0.6,0.4,False
0.2,0.16,0.7,0.3,False
0.2,0.12,0.0,1.0,False
0.2,0.12,0.1,0.9,False
0.2,0.12,0.2,0.8,False
0.2,0.12,0.3,0.7,False
0.2,0.12,0.4,0.6,False
0.2,0.12,0.5,0.5,False
0.2,0.12,0.6,0.4,False
0.2,0.12,0.7,0.3,False
0.2,0.08,0.0,1.0,False
0.2,0.08,0.1,0.9,False
0.2,0.08,0.2,0.8,False
0.2,0.08,0.3,0.7,False
0.2,0.08,0.4,0.6,False
0.2,0.08,0.5,0.5,False
0.2,0.08,0.6,0.4,False
0.2,0.08,0.7,0.3,False
0.2,0.04,0.0,1.0,False
0.2,0.04,0.1,0.9,False
0.2,0.04,0.2,0.8,False
0.2,0.04,0.3,0.7,False
0.2,0.04,0.4,0.6,False
0.2,0.04,0.5,0.5,False
0.2,0.04,0.6,0.4,False
0.2,0.04,0.7,0.3,False
0.2,0.0,0.0,1.0,False
0.2,0.0,0.1,0.9,False
0.2,0.0,0.2,0.8,False
0.2,0.0,0.3,0.7,False
0.2,0.0,0.4,0.6,False
0.2,0.0,0.5,0.5,False
0.2,0.0,0.6,0.4,False
0.2,0.0,0.7,0.3,False
0.24,0.72,0.0,1.0,False
0.24,0.72,0.1,0.9,False
0.24,0.72,0.2,0.8,False
0.24,0.72,0.3,0.7,False
0.24,0.72,0.4,0.6,False
0.24,0.72,0.5,0.5,False
0.24,0.72,0.6,0.4,False
0.24,0.72,0.7,0.3,False
0.24,0.68,0.0,1.0,True
0.24,0.68,0.1,0.9,False
0.24,0.68,0.2,0.8,False
0.24,0.68,0.3,0.7,False
0.24,0.68,0.4,0.6,False
0.24,0.68,0.5,0.5,False
0.24,0.68,0.6,0.4,False
0.24,0.68,0.7,0.3,False
0.24,0.64,0.0,1.0,True
0.24,0.64,0.1,0.9,True
0.24,0.64,0.2,0.8,False
0.24,0.64,0.3,0.7,False
0.24,0.64,0.4,0.6,False
0.24,0.64,0.5,0.5,False
0.24,0.64,0.6,0.4,False
0.24,0.64,0.7,0.3,False
0.24,0.6,0.0,1.0,True
0.24,0.6,0.1,0.9,True
0.24,0.6,0.2,0.8,False
0.24,0.6,0.3,0.7,False
0.24,0.6,0.4,0.6,False
0.24,0.6,0.5,0.5,False
0.24,0.6,0.6,0.4,False
0.24,0.6,0.7,0.3,False
0.24,0.56,0.0,1.0,True
0.24,0.56,0.1,0.9,True
0.24,0.56,0.2,0.8,False
0.24,0.56,0.3,0.7,False
0.24,0.56,0.4,0.6,False
0.24,0.56,0.5,0.5,False
0.24,0.56,0.6,0.4,False
0.24,0.56,0.7,0.3,False
0.24,0.52,0.0,1.0,True
0.24,0.52,0.1,0.9,True
0.24,0.52,0.2,0.8,False
0.24,0.52,0.3,0.7,False
0.24,0.52,0.4,0.6,False
0.24,0.52,0.5,0.5,False
0.24,0.52,0.6,0.4,False
0.24,0.52,0.7,0.3,False
0.24,0.48,0.0,1.0,True
0.24,0.48,0.1,0.9,False
0.24,0.48,0.2,0.8,False
0.24,0.48,0.3,0.7,False
0.24,0.48,0.4,0.6,False
0.24,0.48,0.5,0.5,False
0.24,0.48,0.6,0.4,False
0.24,0.48,0.7,0.3,False
0.24,0.44,0.0,1.0,True
0.24,0.44,0.1,0.9,False
0.24,0.44,0.2,0.8,False
0.24,0.44,0.3,0.7,False
0.24,0.44,0.4,0.6,False
0.24,0.44,0.5,0.5,False
0.24,0.44,0.6,0.4,False
0.24,0.44,0.7,0.3,False
0.24,0.4,0.0,1.0,True
0.24,0.4,0.1,0.9,False
0.24,0.4,0.2,0.8,False
0.24,0.4,0.3,0.7,False
0.24,0.4,0.4,0.6,False
0.24,0.4,0.5,0.5,False
0.24,0.4,0.6,0.4,False
0.24,0.4,0.7,0.3,False
0.24,0.36,0.0,1.0,True
0.24,0.36,0.1,0.9,False
0.24,0.36,0.2,0.8,False
0.24,0.36,0.3,0.7,False
0.24,0.36,0.4,0.6,False
0.24,0.36,0.5,0.5,False
0.24,0.36,0.6,0.4,False
0.24,0.36,0.7,0.3,False
0.24,0.32,0.0,1.0,True
0.24,0.32,0.1,0.9,False
0.24,0.32,0.2,0.8,False
0.24,0.32,0.3,0.7,False
0.24,0.32,0.4,0.6,False
0.24,0.32,0.5,0.5,False
0.24,0.32,0.6,0.4,False
